,ID,x,auc,funcId,kind,fid,iid,dim
44,DiagonalCMA,10000,0.270738294117647,132.0,Affine,132,0,5
43,DifferentialEvolution,4000,0.436875245098039,132.0,Affine,132,0,2
44,DifferentialEvolution,10000,0.283846705882353,132.0,Affine,132,0,5
43,modcma,4002,0.416601797140645,132.0,Affine,132,0,2
44,modcma,10000,0.283126,132.0,Affine,132,0,5
43,modde,4000,0.47247068627451,132.0,Affine,132,0,2
44,modde,10000,0.301412215686275,132.0,Affine,132,0,5
43,RCobyla,4000,0.259862352941176,132.0,Affine,132,0,2
44,RCobyla,10000,0.228085764705882,132.0,Affine,132,0,5
43,DiagonalCMA,4000,0.983296764705882,133.0,Affine,133,0,2
44,DiagonalCMA,10000,0.972417509803921,133.0,Affine,133,0,5
43,DifferentialEvolution,4000,0.899814068627451,133.0,Affine,133,0,2
44,DifferentialEvolution,10000,0.738775274509804,133.0,Affine,133,0,5
43,modcma,4002,0.983372284446012,133.0,Affine,133,0,2
44,modcma,10000,0.972046058823529,133.0,Affine,133,0,5
43,modde,4000,0.936246274509804,133.0,Affine,133,0,2
44,modde,10000,0.840299274509804,133.0,Affine,133,0,5
43,RCobyla,4000,0.945923088235294,133.0,Affine,133,0,2
44,RCobyla,10000,0.933015803921569,133.0,Affine,133,0,5
43,DiagonalCMA,4000,0.54681068627451,134.0,Affine,134,0,2
44,DiagonalCMA,10000,0.229728647058824,134.0,Affine,134,0,5
43,DifferentialEvolution,4000,0.695720392156863,134.0,Affine,134,0,2
44,DifferentialEvolution,10000,0.406855470588235,134.0,Affine,134,0,5
43,modcma,4002,0.684395743304818,134.0,Affine,134,0,2
44,modcma,10000,0.684491196078431,134.0,Affine,134,0,5
43,modde,4000,0.791306617647059,134.0,Affine,134,0,2
44,modde,10000,0.555515862745098,134.0,Affine,134,0,5
43,RCobyla,4000,0.326158235294118,134.0,Affine,134,0,2
44,RCobyla,10000,0.210067333333333,134.0,Affine,134,0,5
43,DiagonalCMA,4000,0.803088921568627,135.0,Affine,135,0,2
44,DiagonalCMA,10000,0.795286078431373,135.0,Affine,135,0,5
43,DifferentialEvolution,4000,0.739579019607843,135.0,Affine,135,0,2
44,DifferentialEvolution,10000,0.50434462745098,135.0,Affine,135,0,5
43,modcma,4002,0.961715710772065,135.0,Affine,135,0,2
44,modcma,10000,0.910897078431373,135.0,Affine,135,0,5
43,modde,4000,0.77862931372549,135.0,Affine,135,0,2
44,modde,10000,0.623854137254902,135.0,Affine,135,0,5
43,RCobyla,4000,0.622634656862745,135.0,Affine,135,0,2
44,RCobyla,10000,0.595462862745098,135.0,Affine,135,0,5
43,DiagonalCMA,4000,0.58459955882353,136.0,Affine,136,0,2
44,DiagonalCMA,10000,0.403008607843137,136.0,Affine,136,0,5
43,DifferentialEvolution,4000,0.573845980392157,136.0,Affine,136,0,2
44,DifferentialEvolution,10000,0.389130901960784,136.0,Affine,136,0,5
43,modcma,4002,0.518620150708959,136.0,Affine,136,0,2
44,modcma,10000,0.391650529411765,136.0,Affine,136,0,5
43,modde,4000,0.606024901960784,136.0,Affine,136,0,2
44,modde,10000,0.408031137254902,136.0,Affine,136,0,5
43,RCobyla,4000,0.436537647058824,136.0,Affine,136,0,2
44,RCobyla,10000,0.370897254901961,136.0,Affine,136,0,5
